Date;Close;Open;High;Low;VIX ;IV;HV;IV Pctl;1D IV Chg;P/C Vol
06/03/2025;5738.52;5785.87;5811.8;5711.64;24.87;21.40%;66.55%;98%;+2.81%;1.12
07/03/2025;5770.2;5726.01;5783.01;5667.26;23.37;19.60%;58.67%;98%;-1.80%;1.27
10/03/2025;5614.56;5705.37;5705.37;5564.02;27.86;23.36%;75.09%;99%;+3.76%;1.38
11/03/2025;5572.07;5603.65;5636.3;5528.41;26.92;23.58%;76.08%;99%;+0.23%;1.19
12/03/2025;5599.3;5624.84;5640.74;5546.09;24.23;21.58%;67.33%;98%;-2.00%;1.28
13/03/2025;5521.52;5594.45;5597.78;5504.65;24.66;22.38%;70.83%;98%;+0.80%;1.26
14/03/2025;5638.94;5563.85;5644.69;5563.85;21.77;19.07%;56.37%;95%;-3.31%;1.43
17/03/2025;5675.12;5635.6;5703.52;5631.39;20.51;18.11%;52.19%;93%;-0.96%;1.16
18/03/2025;5614.66;5654.53;5654.53;5597.76;21.7;19.20%;56.96%;96%;+1.09%;1.17
19/03/2025;5675.29;5632.37;5715.33;5622.2;19.9;17.49%;49.49%;91%;-1.71%;1.33
20/03/2025;5662.89;5646.92;5711.15;5632.33;19.8;17.22%;48.31%;90%;-0.27%;1.21
21/03/2025;5667.56;5630.73;5670.84;5603.1;19.28;16.64%;45.75%;87%;-0.59%;1.18
24/03/2025;5767.57;5718.08;5775.14;5718.08;17.48;14.86%;37.99%;73%;-1.78%;1.17
25/03/2025;5776.65;5775.96;5786.95;5760.42;17.15;14.74%;37.47%;72%;-0.12%;1.11
26/03/2025;5712.2;5771.66;5783.62;5694.41;18.33;15.93%;42.64%;83%;+1.18%;1.33
27/03/2025;5693.31;5695.64;5732.28;5670.94;18.69;16.19%;43.81%;86%;+0.27%;1.26
28/03/2025;5580.94;5679.2;5685.89;5572.42;21.65;18.79%;55.17%;94%;+2.60%;1.28
31/03/2025;5611.85;5527.91;5627.56;5488.73;22.28;18.47%;53.74%;93%;-0.33%;1.28
01/04/2025;5633.07;5597.53;5650.57;5558.52;21.77;18.43%;53.57%;93%;-0.04%;1.22
02/04/2025;5670.97;5580.76;5695.31;5571.48;21.51;19.77%;59.45%;96%;+1.35%;1.17
03/04/2025;5396.52;5492.74;5499.53;5390.83;30.02;25.53%;84.57%;99%;+5.75%;1.54
